id,game_id,hastily,normally,completely,count,game_name,popularity_value,genres,platforms,keywords,log_popularity_value,cover_url
3786,324925,,,,1,Call of Duty Black Ops 6: Season 1,4.620431548e-06,Shooter,Xbox Series X|S | PlayStation 4 | Android | PC (Microsoft Windows) | iOS | PlayStation 5 | Xbox One,Not Available,4.620420873839035e-06,//images.igdb.com/igdb/image/upload/t_thumb/co94rp.jpg
3787,201228,1970-01-02 01:00:00,1970-01-02 16:00:00,1970-01-04 08:00:00,1,YU-NO: A Girl Who Chants Love at the Bound of This World,2.772258929e-05,Point-and-click | Adventure | Visual Novel,PC (Microsoft Windows) | Sega Saturn,torture | nudity | time loop | sexual content | suicide | censored version | secret identity | low sexual content | genre shift | multiple route mystery | interactive,2.772220502612337e-05,//images.igdb.com/igdb/image/upload/t_thumb/co4r34.jpg
3788,106108,,,1970-01-01 11:00:00,1,Irony Curtain: From Matryoshka with Love,2.858279838e-06,Point-and-click | Puzzle | Adventure | Indie,PlayStation 4 | Linux | PC (Microsoft Windows) | Mac | Xbox One | Nintendo Switch,Not Available,2.858275753125968e-06,//images.igdb.com/igdb/image/upload/t_thumb/co1snt.jpg
3789,21610,1970-01-02 13:30:00,1970-01-02 22:30:00,1970-01-02 16:00:00,2,Phoenix Wright: Ace Attorney Trilogy,0.000292010218254,Puzzle | Simulator | Adventure | Visual Novel,PlayStation 4 | Nintendo 3DS | PC (Microsoft Windows) | iOS | Xbox One | Nintendo Switch,Not Available,0.0002919675915683,//images.igdb.com/igdb/image/upload/t_thumb/coa7iv.jpg
3790,112925,,,1970-01-24 16:00:00,1,Cell to Singularity,2.772258929e-05,Simulator,Android | PC (Microsoft Windows) | iOS,free-to-play,2.772220502612337e-05,//images.igdb.com/igdb/image/upload/t_thumb/co6rtu.jpg
3791,109455,1970-01-01 10:00:00,1970-01-01 15:30:00,1970-01-02 01:00:00,2,Luigi's Mansion 3,2.772258929e-05,Adventure,Nintendo Switch,ghosts | haunted house | egypt | halloween | mario | spooky | platform exclusive | ghostbusting | elevator music | luigi | you can pet the dog | princess peach | king boo | the game awards - best family game - winner | hotel,2.772220502612337e-05,//images.igdb.com/igdb/image/upload/t_thumb/co22a9.jpg
3792,194754,,,1970-01-01 05:00:00,1,Heart Love Power Temple,1.887477999e-06,Indie | Visual Novel,Linux | PC (Microsoft Windows) | Mac,Not Available,1.887476217715643e-06,//images.igdb.com/igdb/image/upload/t_thumb/co4oin.jpg
3793,9280,,1970-01-01 02:00:00,,1,Wakfu,6.2175615347e-05,Role-playing (RPG) | Strategy | Turn-based strategy (TBS) | Tactical | Adventure | Indie,Linux | PC (Microsoft Windows) | Mac,pets | achievements | online | grid-based movement | free-to-play | day/night cycle | non-player character | pax prime 2015 | pax east 2015 | text dialogue | pax prime 2010 | pax prime 2011,6.217368252354403e-05,//images.igdb.com/igdb/image/upload/t_thumb/coap5h.jpg
3794,171768,1970-01-01 12:00:00,,,1,Voice of Cards: The Isle Dragon Roars,1.3861294645e-05,Role-playing (RPG) | Simulator | Strategy | Card & Board Game,PlayStation 4 | PC (Microsoft Windows) | Nintendo Switch,yoko taro,1.3861198578143122e-05,//images.igdb.com/igdb/image/upload/t_thumb/co4vmh.jpg
3795,122748,,1970-01-01 23:00:00,,1,Atelier Ayesha: The Alchemist of Dusk DX,0.000181645489439,Role-playing (RPG) | Turn-based strategy (TBS) | Adventure,PlayStation 4 | PC (Microsoft Windows) | Nintendo Switch,Not Available,0.0001816289938946,//images.igdb.com/igdb/image/upload/t_thumb/co210l.jpg
